asset,devicename,alarm_id,device_id,"FROM_UNIXTIME(start_ts / 1000)","FROM_UNIXTIME(clear_ts / 1000)","FROM_UNIXTIME(end_ts / 1000)",severity,status,type,ack_duration,alarm_duration
Factory1,F1_Device1,a780c6c0-31ce-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:53:43.1470","2020-01-08 09:54:03.1460","2020-01-08 09:53:43.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,187387b0-31ce-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:49:43.1470","2020-01-08 09:50:43.1460","2020-01-08 09:50:23.1470","2020-01-08 12:15:59.4560",CLEARED_ACK,Temperature,8776309,40000
Factory1,F1_Device1,b05f92c0-3111-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:21:03.1470","2020-01-07 11:21:43.2000","2020-01-07 11:21:23.1820","2020-01-07 11:56:51.2520",CLEARED_ACK,Voltage,2148105,20035
Factory1,F1_Device3,abeeb1d0-3116-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:56:43.1800","2020-01-07 11:57:03.1730","2020-01-07 11:56:43.1800","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,abf96030-3116-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:56:43.2490","2020-01-07 11:57:03.2450","2020-01-07 11:56:43.2490","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,cfad15d0-3116-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:57:43.1480","2020-01-07 11:58:03.1480","2020-01-07 11:57:43.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,cfb4de00-3116-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:57:43.1980","2020-01-07 11:58:03.1740","2020-01-07 11:57:43.1980","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,428067b0-3144-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:23:03.1470","2020-01-07 17:23:43.1530","2020-01-07 17:23:23.1500","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,20003
Factory1,F1_Device3,5a5cf4c0-3144-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:23:43.1780","2020-01-07 17:24:03.1740","2020-01-07 17:23:43.1780","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,3a2f1410-3150-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:48:43.1520","2020-01-07 18:49:03.1480","2020-01-07 18:48:43.1520","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
